SR,Name,Price,Rating
1,  The Most Perfect Thing: Inside (and Outside) a Bird's Egg  ,  Â₹42.96  ,  Four stars  
2,  Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine  ,  Â₹57.36  ,  Five stars  
3,  Sorting the Beef from the Bull: The Science of Food Fraud Forensics  ,  Â₹44.74  ,  Four stars  
4,  Tipping Point for Planet Earth: How Close Are We to the Edge?  ,  Â₹37.55  ,  One stars  
5,"  The Fabric of the Cosmos: Space, Time, and the Texture of Reality  ",  Â₹55.91  ,  One stars  
6,  Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World  ,  Â₹28.41  ,  One stars  
7,  The Origin of Species  ,  Â₹10.01  ,  Four stars  
8,  The Grand Design  ,  Â₹13.76  ,  Three stars  
9,  Peak: Secrets from the New Science of Expertise  ,  Â₹16.28  ,  Two stars  
10,"  The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory  ",  Â₹13.03  ,  Four stars  
11,"  The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements  ",  Â₹57.35  ,  Five stars  
12,"  Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character  ",  Â₹25.83  ,  Two stars  
13,  Seven Brief Lessons on Physics  ,  Â₹30.60  ,  Four stars  
14,  The Selfish Gene  ,  Â₹29.45  ,  One stars  
